date,mvrv
2021-02-08,3.65741696
2021-02-09,3.61855022
2021-02-10,3.46683384
2021-02-11,3.64585169
2021-02-12,3.57975153
2021-02-13,3.54773666
2021-02-14,3.65475277
2021-02-15,3.56148121
2021-02-16,3.6125173
2021-02-17,3.79432537
2021-02-18,3.70969063
2021-02-19,3.90986635
2021-02-20,3.87796973
2021-02-21,3.95810037
2021-02-22,3.68695731
2021-02-23,3.28933195
2021-02-24,3.32994398
2021-02-25,3.17682646
2021-02-26,3.06572143
2021-02-27,3.04478896
2021-02-28,3.00886446
2021-03-01,3.269931
2021-03-02,3.17061495
2021-03-03,3.3135168
2021-03-04,3.161905493951
2021-03-05,3.17106851
2021-03-06,3.175929809802
2021-03-07,3.30549961
2021-03-08,3.35002291
2021-03-09,3.49855563203
2021-03-10,3.56293331
2021-03-11,3.63177042
2021-03-12,3.570586382096
2021-03-13,3.78957634
2021-03-14,3.68484058
2021-03-15,3.43735753
2021-03-16,3.44231318
2021-03-17,3.55383882
2021-03-18,3.48651656
2021-03-19,3.50341884
2021-03-20,3.49731896
2021-03-21,3.440164039174
2021-03-22,3.25092326
2021-03-23,3.23614304
2021-03-24,3.11041886
2021-03-25,3.03612207
2021-03-26,3.20883079
2021-03-27,3.26897077
2021-03-28,3.24472988
2021-03-29,3.33795673
2021-03-30,3.38330063
2021-03-31,3.375535019449
2021-04-01,3.35598363
2021-04-02,3.35413045
2021-04-03,3.25187507
2021-04-04,3.298301283114
2021-04-05,3.32023402
2021-04-06,3.22914317
2021-04-07,3.12214094
2021-04-08,3.2057806
2021-04-09,3.203576140634
2021-04-10,3.27565104
2021-04-11,3.28353702
2021-04-12,3.26759859
2021-04-13,3.43453079
2021-04-14,3.37622405
2021-04-15,3.37419883
2021-04-16,3.27664917
2021-04-17,3.19962738
2021-04-18,2.959841879616
2021-04-19,2.92575459
2021-04-20,2.95532944
2021-04-21,2.82653587
2021-04-22,2.70960708
2021-04-23,2.65915763
2021-04-24,2.61911452
2021-04-25,2.54988868
2021-04-26,2.79947785
2021-04-27,2.84255929
2021-04-28,2.82520447
2021-04-29,2.75289848
2021-04-30,2.9509244
2021-05-01,2.95232813
2021-05-02,2.88247785
2021-05-03,2.90918692
2021-05-04,2.72676307
2021-05-05,2.90068009
2021-05-06,2.845644398322
2021-05-07,2.86911512
2021-05-08,2.93389162
2021-05-09,2.90472472
2021-05-10,2.78208874
2021-05-11,2.81280636
2021-05-12,2.528710162627
2021-05-13,2.4489477
2021-05-14,2.47934018
2021-05-15,2.33381396
2021-05-16,2.2838578
2021-05-17,2.16428882
2021-05-18,2.13179763
2021-05-19,1.88892076
2021-05-20,2.05205637
2021-05-21,1.87448768
2021-05-22,1.90162942
2021-05-23,1.75890282
2021-05-24,1.94867935
2021-05-25,1.93329011
2021-05-26,1.97886373
2021-05-27,1.94636165
2021-05-28,1.80279078
2021-05-29,1.75819515
2021-05-30,1.80573948
2021-05-31,1.88939041
2021-06-01,1.85490761
2021-06-02,1.905098964141
2021-06-03,1.9791401
2021-06-04,1.866853639007
2021-06-05,1.79378368
2021-06-06,1.81038933
2021-06-07,1.71255578
2021-06-08,1.7042113
2021-06-09,1.89766024
2021-06-10,1.87120729
2021-06-11,1.88860664
2021-06-12,1.81254069
2021-06-13,1.976225
2021-06-14,2.04984505
2021-06-15,2.03798688
2021-06-16,1.937890111061
2021-06-17,1.927486814795
2021-06-18,1.812458657444
2021-06-19,1.805038478086
2021-06-20,1.807459745287
2021-06-21,1.615498500377
2021-06-22,1.651499802307
2021-06-23,1.713698226674
2021-06-24,1.766672167447
2021-06-25,1.630917169218
2021-06-26,1.643033945428
2021-06-27,1.776255857109
2021-06-28,1.769776037417
2021-06-29,1.849675862855
2021-06-30,1.805586334557
2021-07-01,1.727368166727
2021-07-02,1.746141242195
2021-07-03,1.787452030946
2021-07-04,1.8265447061
2021-07-05,1.752492211228
2021-07-06,1.763785729615
2021-07-07,1.753796589122
2021-07-08,1.697989573018
2021-07-09,1.754049012631
2021-07-10,1.738516988105
2021-07-11,1.771750243299
2021-07-12,1.713116506244
2021-07-13,1.688811469688
2021-07-14,1.697934967437
2021-07-15,1.643649164372
2021-07-16,1.63221452573
2021-07-17,1.630400402935
2021-07-18,1.639258220118
2021-07-19,1.597725750094
2021-07-20,1.540648215719
2021-07-21,1.661721371109
2021-07-22,1.670492594499
2021-07-23,1.732406654257
2021-07-24,1.769606297066
2021-07-25,1.81848487747
2021-07-26,1.93010945385
2021-07-27,2.001791162085
2021-07-28,2.033833059073
2021-07-29,2.017407304464
2021-07-30,2.099162197424
2021-07-31,2.098153113059
2021-08-01,2.006838470091
2021-08-02,1.972933571383
2021-08-03,1.922865034712
2021-08-04,1.995697932518
2021-08-05,2.052274774394
2021-08-06,2.140827816615
2021-08-07,2.222890074166
2021-08-08,2.195821362505
2021-08-09,2.303684409546
2021-08-10,2.261488524708
2021-08-11,2.268172978331
2021-08-12,2.20343699514
2021-08-13,2.362590119037
2021-08-14,2.327809478249
2021-08-15,2.323985756424
2021-08-16,2.268193061802
2021-08-17,2.204708913004
2021-08-18,2.213680687968
2021-08-19,2.293129661764
2021-08-20,2.414499299985
2021-08-21,2.403261370099
2021-08-22,2.414996575605
2021-08-23,2.420040085444
2021-08-24,2.33794635096
2021-08-25,2.379019545564
2021-08-26,2.287786761638
2021-08-27,2.375147501066
2021-08-28,2.363961726236
2021-08-29,2.367277866365
2021-08-30,2.277961082403
2021-08-31,2.280110865221
2021-09-01,2.346384601556
2021-09-02,2.375035051723
2021-09-03,2.395390356338
2021-09-04,2.395772281636
2021-09-05,2.480946695916
2021-09-06,2.51931377876
2021-09-07,2.245742480847
2021-09-08,2.213572688033
2021-09-09,2.222094260363
2021-09-10,2.142454311237
2021-09-11,2.157808262825
2021-09-12,2.208217016174
2021-09-13,2.151863481078
2021-09-14,2.245175277381
2021-09-15,2.293761212961
2021-09-16,2.273981867172
2021-09-17,2.244949537952
2021-09-18,2.290426705637
2021-09-19,2.242941684172
2021-09-20,2.040586287582
2021-09-21,1.933233183973
2021-09-22,2.075944471859
2021-09-23,2.135308888042
2021-09-24,2.038939778388
2021-09-25,2.035666539997
2021-09-26,2.040529522117
2021-09-27,2.010425564687
2021-09-28,1.951689041262
2021-09-29,1.962665363543
2021-09-30,2.069864321133
2021-10-01,2.26565626698
2021-10-02,2.248711046277
2021-10-03,2.266397740964
2021-10-04,2.31284262096
2021-10-05,2.411845063946
2021-10-06,2.572944325306
2021-10-07,2.490026710036
2021-10-08,2.492000787508
2021-10-09,2.538238578635
2021-10-10,2.520123658863
2021-10-11,2.631558646637
2021-10-12,2.574418652958
2021-10-13,2.620098281333
2021-10-14,2.613922367304
2021-10-15,2.783786506255
2021-10-16,2.755061819188
2021-10-17,2.775039217832
2021-10-18,2.778276503838
2021-10-19,2.86843851115
2021-10-20,2.928317326688
